key,query,doi,score,ts
WMW9ZTJ5,,Type not supported,,1598888515.048748
6N6YKZHP,/10.1002/meet.14504701045,10.1002/meet.14504701045,,1598888516.0538807
M2A68QET,/10.4337/9781849808033.00010,10.4337/9781849808033.00010,,1598888516.8478765
92RUNGTP,"?query.bibliographic=V&A Images 2009: Image Licensing at a Cultural Heritage Institution&query.author=Smith, K. Kirby&query.bibliographic=2015",10.18665/sr.22356,80.483215,1598888518.2452161
8WGRMIBC,,Type not supported,,1598888518.2596855
4YFCV4S7,,Type not supported,,1598888518.2682614
YDR98MZW,,Type not supported,,1598888518.276165
WKMBT2NI,,Type not supported,,1598888518.2847168
D8AY538E,"?query.bibliographic=Race After Technology&query.author=Benjamin, Ruha&query.bibliographic=2019",10.1093/sf/soz162,45.635258,1598888519.2431574
ALFAIRJR,"?query.bibliographic=Programmed Inequality: How Britain Discarded Women Technologists and Lost Its Edge in Computing&query.author=Hicks, Mar&query.bibliographic=2018",10.1109/mc.2018.3971355,27.645351,1598888520.3284366
EMFPUX4H,"?query.bibliographic=Surveillance as Social Sorting : Privacy, Risk and Automated Discrimination&query.author=Lyon, David&query.bibliographic=2005",10.4324/9780203994887,80.29863,1598888521.9910526
RNEUJDHI,"?query.bibliographic=On Virtual Auras: The Cultural Heritage Object in the Age of 3D Digital Reproduction&query.author=Hindmarch, John; Terras, Melissa; Robson, Stuart&query.bibliographic=2019&query.container-title=The Routeledge International Handbook of New Digital Practices in Galleries, Libraries, Archives, Museums and Heritage Sites",10.4324/9780429506765-22,125.95863,1598888523.702659
W7VK2CNC,"?query.bibliographic=Disability and Design&query.author=Buccafusco, Christopher&query.bibliographic=2019",10.2139/ssrn.3497902,31.878738000000002,1598888525.4743838
W5LLBB6W,,Type not supported,,1598888525.4830275
BGZKYWT6,,Type not supported,,1598888525.4904716
Z7LRF3VY,,Type not supported,,1598888525.4976337
IYRG35VV,,Type not supported,,1598888525.5047946
KJ62NSYB,,Type not supported,,1598888525.5119574
8S76VNPB,,Type not supported,,1598888525.5192747
4VJ9JLBG,,Type not supported,,1598888525.5265205
B5R8S9B2,,Type not supported,,1598888525.5349407
BJPWGPBP,,Type not supported,,1598888525.548789
V2V86E5Z,,Type not supported,,1598888525.5559194
N2BI6QXS,,Type not supported,,1598888525.5630815
KKU42ZDT,,Type not supported,,1598888525.5706756
F6PQMKI6,,Type not supported,,1598888525.5784242
744UBJ7T,,Type not supported,,1598888525.5871882
BISPNKFH,,Type not supported,,1598888525.595795
