Key,Creator,Creator Role,Creator Order,gender,agreement,split,male,female,ambiguous
N6FTWLAV," Maier, Petra",Author,4.0,F,1.0,False,{},"{'PETRA': ['AT', 'BE', 'BG', 'CA', 'CH', 'CZ', 'DE', 'DK', 'ES', 'FI', 'GB', 'HR', 'HU', 'IS', 'LU', 'NL', 'NO', 'RO', 'SE', 'SI', 'US']}",{}
N6FTWLAV," Schmitt, Lothar",Author,5.0,M,1.0,False,"{'LOTHAR': ['AT', 'CA', 'CH', 'DE', 'US']}",{},{}
W8DFGNM5,"Levine, Melissa",Author,0.0,F,0.9230769230769231,False,{},"{'MELISSA': ['AT', 'BE', 'CH', 'DE', 'FR', 'GB', 'IE', 'IT', 'MT', 'NL', 'SE', 'US']}",{'MELISSA': ['CA']}
W8DFGNM5," Adler, Richard C.",Author,1.0,M,1.0,True,"{'RICHARD': ['AT', 'BE', 'CA', 'CH', 'CZ', 'DE', 'DK', 'EE', 'FR', 'GB', 'HU', 'IE', 'LU', 'MT', 'NL', 'NO', 'PH', 'SE', 'SK', 'TT', 'US']}",{},{}
W8DFGNM5," Bonfiglio, Justin",Author,2.0,M,0.9333333333333333,False,"{'JUSTIN': ['AT', 'BE', 'FR', 'GB', 'IE', 'JM', 'LU', 'MT', 'NL', 'PH', 'RO', 'SE', 'TT', 'US']}",{},{'JUSTIN': ['CA']}
W8DFGNM5," Eden, Kristina",Author,3.0,F,0.967741935483871,False,{},"{'KRISTINA': ['AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'BG', 'BY', 'CH', 'CZ', 'DE', 'DK', 'EE', 'FI', 'GB', 'HR', 'IS', 'KZ', 'LT', 'LV', 'MD', 'MK', 'NL', 'NO', 'RU', 'SE', 'SI', 'SK', 'UA', 'US']}",{'KRISTINA': ['CA']}
W8DFGNM5," Hall, and Brian S.",Author,4.0,M,0.8888888888888888,True,"{'BRIAN': ['BE', 'DK', 'GB', 'IE', 'MT', 'NL', 'NO', 'US']}",{},{'BRIAN': ['CA']}
NA4Q5W7Y,Copyright Office at the University of Alberta,Author,0.0,Unexpected name format,,,,,
B6H8MQC2,Museums Association,Author,0.0,Unexpected name format,,,,,
7L735SG8,"Posner, Miriam",Author,0.0,F,1.0,False,{},"{'MIRIAM': ['AT', 'BE', 'CA', 'CH', 'CZ', 'DE', 'DK', 'ES', 'GB', 'IE', 'IL', 'IR', 'IT', 'MT', 'MX', 'NL', 'NO', 'SE', 'SK', 'US']}",{}
HN4FIJXY,"Tuck, Eve",Author,0.0,F,1.0,False,{},"{'EVE': ['CA', 'DE', 'EE', 'FR', 'GB', 'US']}",{}
XM7UW7VY,"Senier, Siobhan",Author,0.0,F,1.0,False,{},"{'SIOBHAN': ['CA', 'GB', 'IE', 'US']}",{}
45NCMXP2,"Bahram, Sina",Author,0.0,F,0.5,False,"{'SINA': ['IR', 'TR']}","{'SINA': ['CH', 'DE', 'RO', 'US']}","{'SINA': ['CA', 'GB']}"
7V3LKJRI,"Murphy, Megan",Author,0.0,F,0.75,False,{},"{'MEGAN': ['GB', 'IE', 'US']}",{'MEGAN': ['CA']}
LQMC98PP,"Richardson, Troy",Author,0.0,M,0.75,False,"{'TROY': ['GB', 'SE', 'US']}",{},{'TROY': ['CA']}
7JUEZ5YN,"Ahmed, Sara",Author,0.0,F,0.9743589743589743,False,{},"{'SARA': [nan, 'AE', 'AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'CH', 'CO', 'DE', 'DK', 'DZ', 'ES', 'FI', 'FR', 'GB', 'HR', 'HU', 'IE', 'IL', 'IR', 'IS', 'IT', 'JP', 'LI', 'ME', 'MX', 'MY', 'NL', 'NO', 'PT', 'RO', 'RS', 'SE', 'SI', 'TR', 'US']}",{'SARA': ['CA']}
QAGNAUYM,"Harris, Gareth",Author,0.0,M,1.0,False,"{'GARETH': ['CA', 'GB', 'IE', 'US']}",{},{}
NKBJH8PR,"Okediji, Ruth",Author,0.0,F,1.0,False,{},"{'RUTH': ['AT', 'BE', 'CA', 'CH', 'CZ', 'DE', 'DK', 'DO', 'EE', 'ES', 'GB', 'IE', 'IL', 'IS', 'LU', 'MT', 'NL', 'NO', 'SE', 'US']}",{}
JGN8QNK5,"Rees, Marc",Author,0.0,M,1.0,False,"{'MARC': ['AD', 'AT', 'BE', 'CA', 'CH', 'DE', 'ES', 'FR', 'GB', 'IE', 'IL', 'LI', 'LU', 'NL', 'SE', 'US']}",{},{}
SG2SPQ3N,"Francoise, Camille",Author,0.0,F,0.8571428571428571,False,{},"{'CAMILLE': ['BE', 'CH', 'FR', 'GB', 'LU', 'US']}",{'CAMILLE': ['CA']}
GHK6V6CY,Wellcome Collection,Author,0.0,Unexpected name format,,,,,
AE9DBI2W,"Proctor, Nancy",Author,0.0,F,1.0,False,{},"{'NANCY': ['BE', 'CA', 'CH', 'DE', 'DK', 'FR', 'GB', 'IE', 'LU', 'MT', 'NL', 'NO', 'SE', 'US']}",{}
Y7MB6NKT,Centre For 21st Century Humanities,Author,0.0,Unexpected name format,,,,,
